id,energy_total,magnetisation
0,3448,-976
1,3264,-982
2,3112,-984
3,2936,-984
4,2732,-1016
5,2552,-1034
6,2364,-1062
7,2168,-1056
8,1988,-1058
9,1800,-1036
10,1640,-1032
11,1456,-1040
12,1296,-1064
13,1092,-1088
14,864,-1086
15,672,-1094
16,500,-1112
17,316,-1088
18,88,-1086
19,-76,-1076
20,-256,-1102
21,-416,-1112
22,-568,-1080
23,-756,-1100
24,-916,-1108
25,-1104,-1110
26,-1240,-1072
27,-1464,-1082
28,-1672,-1086
29,-1804,-1062
30,-2008,-1078
31,-2188,-1102
32,-2348,-1116
33,-2564,-1104
34,-2748,-1102
35,-2952,-1118
36,-3100,-1096
37,-3268,-1126
38,-3460,-1122
39,-3680,-1112
40,-3808,-1124
41,-4012,-1124
42,-4228,-1126
43,-4444,-1140
44,-4632,-1150
45,-4888,-1154
46,-5068,-1176
47,-5204,-1186
48,-5388,-1192
49,-5612,-1184
50,-5784,-1174
51,-5988,-1162
52,-6180,-1152
53,-6332,-1134
54,-6536,-1160
55,-6748,-1138
56,-6940,-1120
57,-7132,-1126
58,-7308,-1132
59,-7512,-1134
60,-7676,-1172
61,-7836,-1134
62,-8036,-1166
63,-8184,-1166
64,-8368,-1162
65,-8524,-1160
66,-8696,-1172
67,-8968,-1166
68,-9148,-1168
69,-9376,-1182
70,-9560,-1212
71,-9732,-1230
72,-9916,-1214
73,-10088,-1216
74,-10284,-1180
75,-10444,-1154
76,-10660,-1154
77,-10872,-1182
78,-11036,-1176
79,-11180,-1196
80,-11384,-1168
81,-11560,-1172
82,-11720,-1160
83,-11900,-1144
84,-12096,-1116
85,-12284,-1116
86,-12452,-1136
87,-12612,-1082
88,-12832,-1076
89,-12960,-1074
90,-13128,-1066
91,-13296,-1074
92,-13520,-1088
93,-13700,-1106
94,-13888,-1082
95,-14116,-1092
96,-14280,-1130
97,-14432,-1130
98,-14604,-1110
99,-14760,-1088
