id,energy_total,magnetisation
0,-8,20
1,-4,4
2,4,-10
3,-12,-4
4,-16,-10
5,-12,-2
6,-16,8
7,0,12
8,-12,10
9,-12,4
10,0,0
11,-8,-18
12,-12,10
13,-4,-14
14,-4,6
15,-12,-6
16,-20,2
17,-12,6
18,-4,12
19,-4,2
20,8,8
21,-16,-4
22,-16,-2
23,-4,2
24,4,14
25,8,8
26,-4,-6
27,-12,6
28,-28,-12
29,8,-4
30,12,8
31,-8,16
32,-28,18
33,-4,18
34,-12,4
35,-28,18
36,0,-2
37,-8,14
38,-16,12
39,-8,-2
40,-4,-8
41,-20,-24
42,-16,-6
43,0,-8
44,-16,4
45,0,8
46,-4,12
47,-12,10
48,-4,2
49,-12,0
50,-8,8
51,-4,12
52,-20,28
53,-12,4
54,-12,2
55,-8,-18
56,-4,-2
57,-12,-8
58,-16,8
59,-16,-8
60,-4,2
61,4,20
62,-8,-10
63,-12,6
64,-12,14
65,0,2
66,0,-10
67,-16,12
68,-24,-6
69,-12,-2
70,-4,-8
71,-16,12
72,-12,8
73,-20,4
74,0,10
75,-4,12
76,-4,-6
77,-8,10
78,-16,-4
79,-8,4
80,-8,16
81,-8,14
82,0,-14
83,-8,-4
84,-8,-4
85,-8,8
86,-20,-10
87,-12,6
88,-24,-8
89,-4,-4
90,-4,16
91,0,0
92,-8,14
93,-16,-20
94,4,-4
95,-4,-8
96,4,-2
97,-12,4
98,-20,-2
99,-12,12
100,-8,4
101,-24,0
102,-16,-20
103,-20,8
104,-12,-18
105,-8,8
106,-8,18
107,-4,16
108,-4,-10
109,-8,-2
110,-12,12
111,-16,10
112,-8,4
113,-8,-18
114,-8,16
115,-8,-4
116,8,14
117,-16,-4
118,-8,-14
119,-12,6
120,-16,2
121,-8,-20
122,-16,8
123,-12,14
124,-4,2
125,-20,4
126,4,-8
127,-4,14
128,0,2
129,-4,4
130,0,-8
131,-4,-6
132,0,8
133,-24,22
134,-16,16
135,8,2
136,-16,4
137,-8,10
138,-12,10
139,-8,6
140,-12,-4
141,4,0
142,-4,10
143,-12,22
144,-12,0
145,-8,6
146,0,-12
147,-8,-20
148,-20,-16
149,-8,-4
150,-12,-2
151,-4,8
152,-8,10
153,-28,-6
154,-8,-6
155,-8,6
156,-16,12
157,-20,10
158,-8,8
159,12,-2
160,-32,8
161,-16,-14
162,-12,2
163,0,-4
164,-20,20
165,-16,-8
166,-12,-8
167,-4,16
168,-20,-2
169,-4,-6
170,-16,8
171,-8,0
172,0,2
173,-20,10
174,8,4
175,8,-12
176,-8,-4
177,-24,-12
178,-16,-20
179,-32,4
180,-8,-10
181,4,-2
182,-8,2
183,-24,0
184,-4,-4
185,-8,-4
186,-4,4
187,-8,-8
188,-16,14
189,-8,2
190,-16,10
191,-20,4
192,-4,-2
193,0,-8
194,-8,0
195,-24,-10
196,-16,-12
197,-20,8
198,-12,-22
199,-4,6
200,-8,4
201,-24,-10
202,-24,8
203,-16,-6
204,-12,-8
