sweep,energy,magnetisation
0,-176,66
1,-176,66
2,-176,64
3,-176,62
4,-176,62
5,-176,62
6,-176,62
7,-176,60
8,-176,60
9,-176,62
10,-180,64
11,-180,64
12,-184,66
13,-184,66
14,-184,64
15,-184,64
16,-184,66
17,-184,68
18,-184,70
19,-188,72
20,-188,74
21,-188,74
22,-188,72
23,-188,70
24,-192,72
25,-192,72
26,-192,74
27,-192,74
28,-196,72
29,-200,70
30,-200,70
31,-200,70
32,-200,70
33,-200,70
34,-204,68
35,-212,70
36,-212,70
37,-216,68
38,-216,68
39,-220,66
40,-220,66
41,-220,66
42,-220,68
43,-220,66
44,-220,64
45,-220,64
46,-224,66
47,-224,64
48,-228,62
49,-232,64
50,-232,64
51,-232,64
52,-236,62
53,-236,62
54,-240,64
55,-240,66
56,-248,68
57,-252,66
58,-252,66
59,-252,68
60,-252,68
61,-252,70
62,-256,68
63,-256,70
64,-256,68
65,-256,68
66,-256,68
67,-260,66
68,-260,68
69,-268,70
70,-268,70
71,-272,68
72,-272,68
73,-272,66
74,-272,68
75,-272,66
76,-272,66
77,-280,64
78,-280,62
79,-284,60
80,-284,60
81,-284,58
82,-284,58
83,-288,60
84,-288,58
85,-292,56
86,-296,58
87,-300,60
88,-300,58
89,-300,58
90,-304,56
91,-304,58
92,-304,58
93,-308,56
94,-308,56
95,-316,58
96,-320,56
97,-320,54
98,-320,52
99,-320,52
100,-320,52
101,-320,54
102,-320,54
103,-320,54
104,-320,52
105,-320,54
106,-320,54
107,-320,52
108,-320,54
109,-320,54
110,-324,52
111,-328,54
112,-328,54
113,-328,54
114,-336,52
115,-336,52
116,-340,54
117,-340,52
118,-340,52
119,-340,52
120,-340,54
121,-340,54
122,-340,52
123,-344,50
124,-344,50
125,-348,52
126,-348,50
127,-348,50
128,-348,52
129,-352,54
130,-356,52
131,-360,54
132,-360,54
133,-360,52
134,-364,54
135,-364,54
136,-364,52
137,-364,52
138,-364,52
139,-364,50
140,-364,52
141,-364,50
142,-364,48
143,-368,50
144,-368,50
145,-368,48
146,-368,46
147,-368,48
148,-368,46
149,-368,44
150,-368,44
151,-368,42
152,-372,44
153,-372,42
154,-372,42
155,-376,40
156,-376,42
157,-376,42
158,-376,40
159,-380,38
160,-380,38
161,-380,36
162,-380,34
163,-384,36
164,-384,34
165,-388,36
166,-388,36
167,-396,34
168,-396,34
169,-396,34
170,-396,32
171,-400,34
172,-400,32
173,-400,30
174,-400,32
175,-400,30
176,-404,28
177,-404,28
178,-408,26
179,-412,28
180,-412,28
181,-412,30
182,-412,28
183,-412,26
184,-412,26
185,-412,26
186,-412,26
187,-412,26
188,-412,26
189,-412,26
190,-416,28
191,-420,30
192,-424,28
193,-424,30
194,-424,32
195,-428,34
196,-428,32
197,-436,30
198,-436,28
199,-440,26
200,-440,26
201,-440,24
202,-440,24
203,-444,26
204,-448,24
205,-448,26
206,-448,26
207,-448,24
208,-448,22
209,-448,24
210,-452,22
211,-452,20
212,-452,18
213,-456,20
214,-460,22
215,-460,20
216,-460,18
217,-460,18
218,-460,16
219,-464,18
220,-464,16
221,-464,16
222,-464,14
223,-464,12
224,-464,12
225,-464,14
226,-464,12
227,-464,10
228,-468,12
229,-468,14
230,-468,16
231,-476,14
232,-476,16
233,-476,18
234,-476,16
235,-480,14
236,-480,14
237,-480,16
238,-480,16
239,-488,18
240,-492,20
241,-496,22
242,-500,20
243,-500,20
244,-500,20
245,-500,20
246,-500,20
247,-500,20
248,-504,22
249,-504,24
250,-504,26
251,-504,26
252,-504,28
253,-508,26
254,-512,24
255,-512,24
256,-512,24
257,-512,26
258,-512,28
259,-512,28
260,-512,30
261,-516,32
262,-516,34
263,-516,32
264,-516,30
265,-516,32
266,-520,30
267,-520,28
268,-528,26
269,-536,24
270,-536,24
271,-540,22
272,-540,20
273,-540,22
274,-540,24
275,-540,24
276,-544,26
277,-544,26
278,-544,24
279,-544,24
280,-552,26
281,-552,24
282,-552,22
283,-552,22
284,-552,22
285,-560,24
286,-560,22
287,-568,20
288,-568,20
289,-572,22
290,-576,24
291,-580,22
292,-580,22
293,-584,24
294,-584,24
295,-584,22
296,-584,22
297,-584,22
298,-584,22
299,-584,22
300,-584,22
301,-584,22
302,-588,20
303,-588,18
304,-588,18
305,-588,16
306,-592,18
307,-592,16
308,-596,14
309,-596,14
310,-596,12
311,-600,14
312,-604,12
313,-604,14
314,-604,12
315,-612,10
316,-616,8
317,-616,6
318,-616,6
319,-620,8
320,-620,10
321,-620,10
322,-620,12
323,-620,14
324,-624,16
325,-624,18
326,-624,16
327,-628,14
328,-636,16
329,-636,16
330,-636,16
331,-636,16
332,-636,16
333,-636,16
334,-636,16
335,-636,14
336,-640,16
337,-644,18
338,-648,16
339,-648,18
340,-656,16
341,-656,16
342,-656,18
343,-660,16
344,-660,16
345,-660,16
346,-660,18
347,-660,20
348,-664,18
349,-668,20
350,-668,18
351,-668,20
352,-668,18
353,-668,16
354,-668,16
355,-668,16
356,-668,16
357,-668,14
358,-668,12
359,-672,14
360,-672,14
361,-672,16
362,-676,18
363,-684,16
364,-684,14
365,-692,16
366,-692,18
367,-692,18
368,-696,20
369,-700,18
370,-700,18
371,-700,18
372,-700,18
373,-700,18
374,-700,18
375,-700,16
376,-700,16
377,-700,16
378,-700,14
379,-700,16
380,-708,14
381,-708,14
382,-708,12
383,-708,12
384,-716,14
385,-716,12
386,-716,12
387,-716,12
388,-720,10
389,-720,12
390,-720,12
391,-724,14
392,-724,14
393,-728,12
394,-728,10
395,-728,10
396,-728,12
397,-732,14
398,-732,12
399,-732,12
400,-732,10
401,-732,12
402,-736,14
403,-736,16
404,-736,18
405,-736,16
406,-736,16
407,-736,18
408,-740,20
409,-740,20
410,-740,20
411,-740,18
412,-740,18
413,-740,20
414,-740,22
415,-740,22
416,-744,20
417,-744,22
418,-744,22
419,-744,20
420,-744,20
421,-752,22
422,-752,24
423,-752,24
424,-752,24
425,-752,26
426,-752,26
427,-760,28
428,-760,28
429,-760,28
430,-760,26
431,-760,26
432,-764,24
433,-764,24
434,-768,22
435,-768,22
436,-768,24
437,-768,26
438,-768,24
439,-772,22
440,-772,24
441,-772,22
442,-772,20
443,-776,18
444,-780,20
445,-780,18
446,-780,18
447,-784,16
448,-784,16
449,-788,18
450,-792,20
451,-800,22
452,-800,22
453,-800,24
454,-800,24
455,-804,22
456,-808,20
457,-812,22
458,-812,22
459,-812,22
460,-812,22
461,-816,20
462,-820,22
463,-820,22
464,-820,22
465,-828,24
466,-832,26
467,-840,28
468,-840,28
469,-840,28
470,-840,26
471,-840,26
472,-848,28
473,-848,28
474,-848,30
475,-848,28
476,-848,28
477,-852,30
478,-856,28
479,-856,28
480,-856,28
481,-856,28
482,-856,28
483,-856,28
484,-856,26
485,-856,28
486,-856,28
487,-856,28
488,-864,26
489,-868,24
490,-868,24
491,-868,24
492,-868,24
493,-868,24
494,-868,26
495,-868,26
496,-868,26
497,-872,24
498,-872,22
499,-872,24
500,-872,26
501,-872,26
502,-872,26
503,-872,26
504,-872,26
505,-872,26
506,-872,28
507,-872,26
508,-872,26
509,-872,26
510,-872,26
511,-872,26
512,-872,28
513,-876,26
514,-880,24
515,-880,24
516,-880,24
517,-880,24
518,-880,24
519,-880,22
520,-888,24
521,-892,22
522,-892,22
523,-892,22
524,-892,20
525,-892,18
526,-892,16
527,-892,14
528,-892,16
529,-892,14
530,-896,16
531,-896,14
532,-896,14
533,-900,12
534,-900,10
535,-900,12
536,-900,14
537,-900,16
538,-900,14
539,-900,14
540,-900,14
541,-900,14
542,-900,12
543,-900,12
544,-900,10
545,-900,8
546,-900,10
547,-904,8
548,-904,10
549,-904,8
550,-904,8
551,-904,8
552,-904,6
553,-904,4
554,-912,6
555,-912,8
556,-912,10
557,-912,10
558,-912,10
559,-916,12
560,-920,10
561,-920,10
562,-920,12
563,-920,12
564,-920,10
565,-924,8
566,-928,10
567,-928,10
568,-928,12
569,-928,12
570,-928,14
571,-928,14
572,-928,16
573,-928,14
574,-932,12
575,-936,10
576,-936,10
577,-936,10
578,-940,8
579,-940,8
580,-940,6
581,-940,6
582,-944,4
583,-944,6
584,-944,6
585,-944,6
586,-948,4
587,-948,6
588,-948,4
589,-948,4
590,-948,2
591,-948,0
592,-948,-2
593,-948,-2
594,-956,-4
595,-956,-4
596,-956,-6
597,-956,-6
598,-956,-4
599,-956,-4
600,-956,-4
601,-956,-6
602,-956,-6
603,-964,-8
604,-968,-10
605,-972,-12
606,-972,-14
607,-972,-16
608,-972,-16
609,-972,-14
610,-976,-16
611,-980,-14
612,-980,-14
613,-980,-14
614,-980,-14
615,-980,-12
616,-980,-14
617,-980,-16
618,-980,-14
619,-984,-12
620,-988,-14
621,-992,-16
622,-996,-18
623,-996,-20
624,-1004,-22
625,-1004,-20
626,-1004,-22
627,-1004,-24
628,-1004,-24
629,-1004,-24
630,-1004,-22
631,-1004,-22
632,-1004,-22
633,-1004,-22
634,-1004,-22
635,-1008,-20
636,-1012,-22
637,-1012,-24
638,-1012,-24
639,-1016,-26
640,-1016,-28
641,-1016,-28
642,-1024,-30
643,-1024,-28
644,-1024,-28
645,-1024,-30
646,-1024,-28
647,-1028,-26
648,-1028,-26
649,-1028,-26
650,-1032,-28
651,-1032,-28
652,-1032,-28
653,-1032,-26
654,-1032,-28
655,-1032,-26
656,-1032,-24
657,-1040,-22
658,-1040,-24
659,-1040,-24
660,-1044,-26
661,-1044,-26
662,-1044,-26
663,-1044,-28
664,-1044,-26
665,-1044,-28
666,-1044,-28
667,-1044,-28
668,-1044,-26
669,-1048,-24
670,-1052,-22
671,-1052,-22
672,-1052,-24
673,-1052,-26
674,-1056,-28
675,-1056,-28
676,-1056,-26
677,-1060,-24
678,-1060,-24
679,-1060,-24
680,-1060,-22
681,-1060,-22
682,-1060,-22
683,-1060,-24
684,-1060,-26
685,-1060,-26
686,-1064,-24
687,-1064,-24
688,-1068,-22
689,-1068,-20
690,-1068,-18
691,-1068,-20
692,-1072,-22
693,-1076,-24
694,-1076,-26
695,-1076,-28
696,-1076,-28
697,-1076,-28
698,-1080,-30
699,-1080,-30
700,-1084,-28
701,-1084,-30
702,-1088,-28
703,-1096,-30
704,-1096,-32
705,-1100,-34
706,-1100,-34
707,-1104,-36
708,-1104,-34
709,-1104,-34
710,-1104,-34
711,-1104,-34
712,-1104,-32
713,-1108,-34
714,-1112,-36
715,-1116,-38
716,-1120,-40
717,-1120,-40
718,-1120,-42
719,-1124,-44
720,-1132,-42
721,-1132,-44
722,-1132,-44
723,-1132,-44
724,-1132,-44
725,-1132,-44
726,-1136,-42
727,-1136,-40
728,-1140,-42
729,-1140,-42
730,-1140,-44
731,-1140,-46
732,-1144,-44
733,-1144,-44
734,-1144,-46
735,-1144,-46
736,-1144,-48
737,-1144,-46
738,-1144,-46
739,-1144,-44
740,-1144,-46
741,-1148,-48
742,-1148,-50
743,-1148,-52
744,-1156,-50
745,-1156,-52
746,-1160,-54
747,-1160,-56
748,-1160,-58
749,-1160,-58
750,-1160,-56
751,-1160,-56
752,-1160,-56
753,-1160,-56
754,-1160,-56
755,-1168,-58
756,-1168,-58
757,-1168,-58
758,-1168,-58
759,-1168,-56
760,-1168,-56
761,-1168,-56
762,-1172,-54
763,-1176,-56
764,-1176,-56
765,-1180,-58
766,-1184,-60
767,-1184,-62
768,-1184,-62
769,-1184,-62
770,-1184,-64
771,-1184,-64
772,-1184,-64
773,-1188,-66
774,-1188,-64
775,-1188,-66
776,-1192,-64
777,-1192,-62
778,-1196,-64
779,-1196,-64
780,-1196,-66
781,-1196,-66
782,-1196,-66
783,-1196,-68
784,-1196,-68
785,-1196,-66
786,-1200,-68
787,-1204,-70
788,-1204,-70
789,-1204,-68
790,-1204,-66
791,-1208,-68
792,-1212,-66
793,-1212,-68
794,-1212,-68
795,-1212,-68
796,-1212,-68
797,-1212,-70
798,-1212,-72
799,-1212,-74
800,-1212,-74
801,-1212,-74
802,-1212,-74
803,-1220,-76
804,-1224,-78
805,-1224,-80
806,-1224,-78
807,-1224,-76
808,-1224,-76
809,-1224,-76
810,-1224,-74
811,-1224,-74
812,-1224,-74
813,-1224,-74
814,-1224,-74
815,-1224,-72
816,-1228,-74
817,-1228,-72
818,-1228,-74
819,-1232,-76
820,-1232,-76
821,-1232,-76
822,-1232,-78
823,-1236,-76
824,-1236,-76
825,-1236,-76
826,-1244,-78
827,-1244,-80
828,-1244,-80
829,-1244,-78
830,-1248,-76
831,-1248,-76
832,-1248,-76
833,-1252,-78
834,-1252,-78
835,-1252,-78
836,-1252,-78
837,-1260,-80
838,-1260,-80
839,-1260,-78
840,-1260,-76
841,-1268,-78
842,-1272,-80
843,-1272,-78
844,-1272,-80
845,-1272,-80
846,-1272,-80
847,-1272,-78
848,-1272,-78
849,-1272,-80
850,-1272,-80
851,-1272,-82
852,-1272,-84
853,-1272,-84
854,-1276,-86
855,-1280,-88
856,-1284,-90
857,-1284,-88
858,-1284,-86
859,-1284,-86
860,-1284,-86
861,-1284,-86
862,-1284,-86
863,-1284,-86
864,-1284,-88
865,-1288,-90
866,-1288,-90
867,-1292,-92
868,-1292,-90
869,-1292,-90
870,-1296,-92
871,-1300,-94
872,-1300,-96
873,-1300,-96
874,-1300,-96
875,-1300,-94
876,-1300,-96
877,-1304,-98
878,-1304,-96
879,-1304,-98
880,-1304,-98
881,-1304,-96
882,-1304,-96
883,-1304,-98
884,-1304,-98
885,-1308,-100
886,-1312,-102
887,-1312,-100
888,-1312,-100
889,-1312,-102
890,-1320,-104
891,-1324,-102
892,-1324,-102
893,-1324,-100
894,-1328,-98
895,-1328,-98
896,-1332,-100
897,-1332,-100
898,-1332,-98
899,-1332,-98
900,-1332,-100
901,-1332,-98
902,-1332,-98
903,-1336,-100
904,-1340,-102
905,-1340,-104
906,-1340,-106
907,-1340,-108
908,-1340,-108
909,-1348,-106
910,-1348,-104
911,-1352,-106
912,-1352,-106
913,-1352,-106
914,-1356,-104
915,-1356,-104
916,-1356,-102
917,-1356,-100
918,-1360,-98
919,-1364,-96
920,-1364,-94
921,-1372,-96
922,-1372,-96
923,-1372,-94
924,-1372,-96
925,-1372,-96
926,-1372,-96
927,-1372,-96
928,-1372,-94
929,-1380,-96
930,-1384,-94
931,-1384,-94
932,-1384,-94
933,-1388,-92
934,-1388,-92
935,-1388,-92
936,-1388,-90
937,-1392,-88
938,-1392,-86
939,-1392,-86
940,-1392,-88
941,-1396,-90
942,-1400,-88
943,-1400,-88
944,-1404,-90
945,-1404,-92
946,-1408,-94
947,-1408,-94
948,-1408,-92
949,-1408,-90
950,-1408,-90
951,-1408,-90
952,-1408,-88
953,-1412,-86
954,-1412,-88
955,-1412,-90
956,-1412,-90
957,-1412,-90
958,-1412,-88
959,-1416,-90
960,-1424,-92
961,-1428,-94
962,-1428,-94
963,-1428,-92
964,-1432,-90
965,-1432,-90
966,-1436,-92
967,-1436,-90
968,-1436,-90
969,-1440,-88
970,-1448,-90
971,-1452,-88
972,-1452,-86
973,-1452,-88
974,-1452,-88
975,-1452,-86
976,-1452,-86
977,-1452,-86
978,-1452,-88
979,-1452,-88
980,-1452,-86
981,-1456,-84
982,-1456,-86
983,-1456,-86
984,-1460,-84
985,-1460,-82
986,-1464,-84
987,-1464,-86
988,-1468,-84
989,-1468,-84
990,-1468,-86
991,-1468,-84
992,-1468,-84
993,-1468,-82
994,-1468,-84
995,-1468,-82
996,-1472,-84
997,-1472,-84
998,-1476,-86
999,-1476,-86
1000,-1476,-84
1001,-1476,-82
1002,-1476,-84
1003,-1476,-86
1004,-1476,-84
1005,-1476,-84
1006,-1480,-82
1007,-1480,-82
1008,-1484,-84
1009,-1484,-86
1010,-1484,-86
1011,-1484,-88
1012,-1484,-88
1013,-1484,-90
1014,-1484,-92
1015,-1484,-94
1016,-1484,-94
1017,-1484,-96
1018,-1484,-96
1019,-1484,-94
1020,-1484,-94
1021,-1484,-92
1022,-1484,-92
1023,-1488,-90
1024,-1488,-90
1025,-1492,-88
1026,-1492,-86
1027,-1492,-86
1028,-1492,-86
1029,-1492,-88
1030,-1492,-86
1031,-1492,-84
1032,-1492,-86
1033,-1492,-86
1034,-1500,-88
1035,-1504,-90
1036,-1504,-90
1037,-1504,-90
1038,-1504,-88
1039,-1504,-86
1040,-1504,-86
1041,-1504,-86
1042,-1504,-86
1043,-1504,-86
1044,-1504,-86
1045,-1504,-86
1046,-1504,-86
1047,-1508,-84
1048,-1508,-82
1049,-1508,-84
1050,-1512,-86
1051,-1512,-84
1052,-1512,-84
1053,-1516,-82
1054,-1516,-82
1055,-1520,-80
1056,-1520,-80
1057,-1524,-78
1058,-1524,-78
1059,-1524,-78
1060,-1524,-76
1061,-1524,-76
1062,-1524,-76
1063,-1528,-78
1064,-1528,-76
1065,-1536,-78
1066,-1536,-76
1067,-1536,-78
1068,-1536,-80
1069,-1540,-82
1070,-1540,-84
1071,-1540,-84
1072,-1540,-84
1073,-1540,-82
1074,-1540,-82
1075,-1544,-84
1076,-1544,-86
1077,-1544,-86
1078,-1552,-84
1079,-1552,-84
1080,-1552,-84
1081,-1552,-82
1082,-1552,-84
1083,-1552,-86
1084,-1552,-88
1085,-1552,-88
1086,-1556,-90
1087,-1556,-88
1088,-1556,-88
1089,-1560,-90
1090,-1560,-88
1091,-1564,-90
1092,-1568,-88
1093,-1568,-88
1094,-1572,-86
1095,-1572,-88
1096,-1572,-88
1097,-1572,-90
1098,-1572,-90
1099,-1572,-90
1100,-1572,-92
1101,-1572,-92
1102,-1572,-94
1103,-1572,-94
1104,-1572,-94
1105,-1572,-96
1106,-1576,-98
1107,-1576,-98
1108,-1576,-100
1109,-1576,-102
1110,-1576,-100
1111,-1576,-98
1112,-1576,-100
1113,-1576,-98
1114,-1576,-96
1115,-1576,-96
1116,-1576,-94
1117,-1580,-96
1118,-1580,-96
1119,-1580,-96
1120,-1580,-98
1121,-1580,-100
1122,-1580,-100
1123,-1584,-98
1124,-1584,-100
1125,-1584,-100
1126,-1588,-98
1127,-1592,-96
1128,-1596,-94
1129,-1596,-96
1130,-1596,-98
1131,-1600,-96
1132,-1600,-94
1133,-1600,-92
1134,-1600,-92
1135,-1600,-92
1136,-1600,-92
1137,-1600,-92
1138,-1600,-94
1139,-1604,-92
1140,-1604,-92
1141,-1604,-94
1142,-1608,-92
1143,-1612,-94
1144,-1612,-96
1145,-1612,-98
1146,-1612,-98
1147,-1612,-98
1148,-1616,-100
1149,-1620,-102
1150,-1620,-102
1151,-1620,-104
1152,-1620,-106
1153,-1620,-106
1154,-1620,-106
1155,-1628,-104
1156,-1632,-102
1157,-1632,-102
1158,-1632,-104
1159,-1632,-104
1160,-1632,-104
1161,-1632,-104
1162,-1632,-104
1163,-1632,-106
1164,-1636,-104
1165,-1636,-104
1166,-1636,-102
1167,-1636,-100
1168,-1636,-100
1169,-1644,-98
1170,-1644,-98
1171,-1644,-100
