id,energy_total,magnetisation
0,-4,-16
1,-20,4
2,4,12
3,-8,-16
4,0,4
5,-8,-12
6,4,-4
7,8,4
8,0,-4
9,4,8
10,12,12
11,4,0
12,0,-4
13,0,0
14,-4,-4
15,0,4
16,-4,-16
17,-4,-20
18,-4,8
19,-4,-8
20,8,0
21,-20,4
22,-12,-4
23,12,4
24,16,8
25,8,12
26,-8,-8
27,8,0
28,12,-8
29,0,8
30,-12,0
31,-4,0
32,-4,8
33,-8,-12
34,8,-8
35,4,0
36,4,12
37,0,-4
38,0,-12
39,16,20
40,0,8
41,4,12
42,20,-4
43,8,16
44,8,4
45,-8,8
46,12,8
47,8,4
48,4,-20
49,12,24
50,-20,0
51,8,16
52,-4,4
53,4,0
54,4,-4
55,-12,12
56,4,-4
57,24,0
58,12,16
59,4,24
60,4,16
61,0,-12
62,4,-8
63,-4,-4
64,28,8
65,4,4
66,-20,8
67,-12,0
68,-16,-4
69,12,0
70,8,-12
71,-4,-8
72,8,0
73,12,12
74,-8,-4
75,0,8
76,0,0
77,4,8
78,0,-4
79,0,4
80,-4,0
81,8,4
82,0,4
83,-20,4
84,24,-4
85,0,16
86,-8,-4
87,8,12
88,-4,-16
89,-12,12
90,4,-4
91,-24,0
92,12,-8
93,4,-16
94,0,0
95,-16,-16
96,8,4
97,-12,16
98,4,0
99,-8,8
100,16,-4
101,0,4
102,4,-12
103,4,-4
104,16,-20
105,-8,-8
106,-8,4
107,-8,4
108,16,8
109,24,0
110,0,0
111,-4,12
112,-4,0
113,-12,-8
114,-12,8
115,4,-8
116,0,-8
117,0,4
118,-4,8
119,-12,-12
120,-8,-4
121,12,16
122,0,8
123,-8,-4
124,8,-12
125,4,0
126,16,-8
127,8,0
128,-4,8
129,4,-4
130,4,-8
131,12,-8
132,20,4
133,4,-4
134,0,16
135,24,-4
136,0,0
137,4,-12
138,-32,8
139,8,0
140,-4,4
141,0,0
142,0,4
143,-4,8
144,8,-8
145,-8,20
146,-16,4
147,0,4
148,0,0
149,0,8
150,-8,-16
151,-8,8
152,-4,4
153,-8,4
154,0,12
155,16,0
156,-20,16
157,0,16
158,8,8
159,12,0
160,12,20
161,12,8
162,0,-4
163,4,-12
164,4,0
165,-4,4
166,4,12
167,-8,8
168,-16,12
169,-4,4
170,0,8
171,24,-8
172,-4,8
173,4,-4
174,8,8
175,0,-8
176,-20,0
177,-4,0
178,8,4
179,8,12
180,20,-4
181,-8,-4
182,8,8
183,-4,4
184,0,16
185,-8,-12
186,4,4
187,-12,4
188,4,-20
189,-8,16
190,0,8
191,4,-24
192,20,-4
193,12,-8
194,4,0
195,16,-4
196,0,-20
197,32,-12
198,0,4
199,12,-4
200,-12,0
201,-8,16
202,4,-8
203,0,-12
204,24,-4
205,-16,-4
206,-4,-4
207,12,-4
208,0,0
209,20,4
210,-16,8
211,-16,-4
212,0,4
213,-4,12
214,12,0
215,-8,8
216,-8,-16
217,8,0
218,-8,0
219,-8,-12
220,16,-16
221,8,0
222,-12,16
223,-8,0
224,4,0
225,4,12
226,-4,16
227,-12,-16
228,-20,8
229,4,0
230,4,-8
231,12,-4
232,4,4
233,-12,-8
234,0,-12
235,8,-16
236,-12,0
237,-4,4
238,16,4
239,16,-8
240,8,0
241,16,-8
242,-12,8
243,4,8
244,8,0
245,4,0
246,-4,4
247,-8,0
248,8,-4
249,4,12
250,4,-8
251,0,12
252,-20,-8
253,-4,4
254,-4,-24
255,-4,4
256,24,0
257,16,16
258,0,16
259,20,4
260,-4,-12
261,8,28
262,0,-8
263,-8,4
264,-8,0
265,-8,16
266,8,-8
267,-16,8
268,0,-8
269,-4,0
270,-4,8
271,16,8
272,4,-8
273,8,-4
274,-8,8
275,8,-4
276,4,16
277,20,4
278,-12,-4
279,8,-4
280,0,12
281,0,-4
282,-4,-8
283,8,12
284,0,8
285,-4,0
286,4,4
287,16,4
288,4,-8
289,-4,20
290,-12,8
291,0,8
292,0,0
293,16,0
294,-4,4
295,4,16
296,4,-4
297,-4,12
298,-8,0
299,-8,0
300,4,-4
301,8,0
302,-16,20
303,-4,-4
304,-4,4
305,-12,-4
306,-8,4
307,0,-16
308,12,-16
309,0,12
310,0,-4
311,4,4
312,12,-12
313,0,4
314,24,0
315,16,-20
316,-8,-4
317,-12,-4
318,-16,20
319,12,8
320,-4,8
321,8,-8
322,0,0
323,-12,-8
324,-12,4
325,-4,-24
326,8,-12
327,8,0
328,4,20
329,4,12
330,-24,12
331,0,12
332,8,-24
333,-4,12
334,4,20
335,4,-12
336,16,-8
337,-8,-12
338,8,4
339,-4,-4
340,0,-4
341,-12,24
342,-16,16
343,-12,12
344,12,0
345,-12,-4
346,-8,12
347,0,-4
348,-8,20
349,4,4
350,8,16
351,8,4
352,0,12
353,-16,8
354,4,-4
355,16,12
356,-8,-4
357,-16,4
358,-4,-8
359,0,-4
360,0,4
361,-4,0
362,4,-4
363,0,4
364,-12,-12
365,8,4
366,0,12
367,8,12
368,-12,12
369,-8,-4
370,8,-4
371,12,4
372,4,4
373,-16,-16
374,4,-8
375,4,-8
376,20,-4
377,-4,-8
378,-20,8
379,12,8
380,12,0
381,4,-12
382,4,4
383,-24,-20
384,0,4
385,0,-16
386,0,-8
387,-4,0
388,4,12
389,4,-8
390,4,8
391,0,8
392,8,-4
393,4,0
394,16,4
395,4,20
396,28,-4
397,-8,-4
398,-20,12
399,12,0
400,-8,4
401,0,-16
402,-8,16
403,-32,20
404,-4,16
405,-8,24
406,4,16
407,-12,12
408,-8,-4
409,-4,-4
410,0,4
411,0,-4
412,-8,8
413,-4,-20
414,12,0
415,12,-4
416,0,24
417,0,12
418,4,0
419,-4,8
420,24,4
421,-4,-16
422,8,20
423,4,-4
424,0,8
425,-4,-8
426,-12,16
427,0,-16
428,8,0
429,12,-4
430,12,0
431,-8,-4
432,12,4
433,-8,8
434,4,0
435,0,-4
436,8,-12
437,-12,-28
438,-8,-8
439,-4,8
440,0,4
441,8,12
442,4,16
443,12,-4
444,8,12
445,12,-16
446,8,-8
447,8,0
448,-8,4
449,-4,0
450,-16,-8
451,8,-4
452,4,4
453,8,4
454,0,4
455,-4,-4
456,12,0
457,-4,0
458,0,4
459,4,24
460,8,-4
461,-12,4
462,0,0
463,-8,-16
464,12,4
465,12,4
466,-16,-16
467,-8,-8
468,8,4
469,20,-12
470,-8,0
471,16,8
472,-4,-4
473,-8,16
474,-8,20
475,-4,8
476,0,-20
477,0,8
478,0,-8
479,-8,-4
480,0,-8
481,-16,20
482,-8,-8
483,-4,-12
484,16,0
485,0,4
486,4,-16
487,0,-12
488,0,8
489,28,-8
490,8,8
491,-36,-12
492,0,4
493,-16,-12
494,-4,12
495,-4,-4
496,8,-4
497,-4,-4
498,0,8
499,-16,-16
500,8,8
501,4,0
502,-12,20
503,0,20
504,12,12
505,8,24
506,8,-8
507,12,4
508,-8,16
509,0,-16
510,8,0
511,-16,8
512,-16,-4
513,-4,12
514,0,-12
515,-8,28
516,-8,-4
517,16,-20
518,-16,-4
519,-12,12
520,-28,12
521,-8,-4
522,8,12
523,8,8
524,8,-8
525,0,4
526,8,-12
527,12,12
528,0,-4
529,12,-8
530,-8,12
531,0,-16
532,12,-4
533,0,8
534,4,-12
535,-4,0
536,12,16
537,8,8
538,12,8
539,-16,-20
540,-16,24
541,-12,-16
542,-8,-8
543,-12,-20
544,12,0
545,12,8
546,4,-16
547,-8,16
548,0,-8
549,-16,-8
550,20,0
551,4,4
552,-8,-4
553,-8,-4
554,12,-8
555,20,-4
556,-4,4
557,4,0
558,12,-12
559,-4,-4
560,0,4
561,16,-12
562,8,-4
563,4,4
564,4,4
565,12,-8
566,-8,12
567,16,8
568,-12,0
569,0,-4
570,-8,4
571,-20,8
572,4,4
573,12,24
574,-16,-12
575,4,4
576,-12,8
577,0,-16
578,12,8
579,-8,20
580,0,4
581,-12,12
582,-12,20
583,0,8
584,-4,0
585,8,20
586,8,-8
587,-8,8
588,8,-4
589,8,4
590,-4,-8
591,8,-4
592,-12,-8
593,0,16
594,0,-4
595,4,16
596,12,12
597,-12,4
598,8,8
599,12,-8
600,-20,28
601,-8,0
602,0,8
603,-16,-8
604,8,4
605,-8,0
606,4,-4
607,12,-4
608,4,0
609,0,12
610,-4,-8
611,-4,4
612,-24,-16
613,8,-20
614,8,4
615,4,12
616,-12,-16
617,8,-4
618,12,-12
619,-4,4
620,4,4
621,-12,0
622,-4,-8
623,8,8
624,12,8
625,-12,8
626,0,4
627,-4,8
628,-4,-4
629,0,-8
630,8,-16
631,-12,12
632,4,-12
633,-4,12
634,-20,-4
