sweep,energy,magnetisation
0,16,0
1,16,2
2,20,4
3,24,2
4,20,0
5,20,2
6,16,4
7,16,2
8,16,0
9,16,2
10,16,4
11,16,2
12,12,0
13,16,2
14,16,4
15,16,6
16,16,8
17,12,6
18,12,4
19,12,2
20,12,0
21,8,2
22,8,4
23,8,6
24,8,4
25,8,2
26,4,4
27,8,6
28,12,4
29,12,6
30,12,4
31,16,6
32,12,8
33,12,6
34,16,8
35,16,6
36,16,4
37,16,2
38,16,0
39,20,-2
40,16,0
41,16,2
42,16,0
43,16,-2
44,16,-4
45,12,-6
46,12,-4
47,8,-6
48,8,-8
49,4,-6
50,4,-4
51,8,-6
52,8,-4
53,8,-6
54,8,-4
55,8,-2
56,8,-4
57,12,-6
58,8,-4
59,8,-6
60,4,-4
61,4,-2
62,0,-4
63,-4,-2
64,-8,-4
65,-12,-2
66,-16,-4
67,-16,-2
68,-16,0
69,-12,-2
70,-16,0
71,-12,2
72,-12,0
73,-12,2
74,-8,4
75,-4,2
76,-4,4
77,0,2
78,0,0
79,0,-2
80,0,0
81,0,-2
82,0,0
83,4,2
84,4,4
85,8,6
86,8,4
87,4,2
88,4,4
89,4,2
90,4,0
91,4,2
92,4,0
93,4,2
94,4,0
95,8,-2
96,8,0
97,8,2
98,8,4
99,4,2
100,4,4
101,4,2
102,0,0
103,0,2
104,4,4
105,8,6
106,4,8
107,0,6
108,-4,4
109,-4,2
110,-8,0
111,-12,2
112,-12,0
113,-16,-2
114,-16,-4
115,-12,-2
116,-8,0
117,-4,2
118,-4,4
119,0,2
120,-4,0
121,-8,2
122,-4,4
123,-8,6
124,-12,4
125,-12,2
126,-16,0
127,-16,-2
128,-20,0
129,-16,2
130,-20,0
131,-24,-2
132,-20,0
133,-20,2
134,-24,0
135,-24,2
136,-24,0
137,-20,2
138,-20,4
139,-16,2
140,-20,0
141,-20,-2
142,-16,-4
143,-16,-6
144,-20,-8
145,-16,-10
146,-16,-12
147,-12,-10
148,-12,-12
149,-16,-14
150,-16,-12
151,-20,-14
152,-24,-16
153,-24,-14
154,-28,-12
155,-24,-10
156,-24,-12
157,-20,-10
158,-20,-8
159,-16,-6
160,-16,-8
161,-16,-6
162,-16,-4
163,-12,-2
164,-12,-4
165,-16,-6
166,-20,-8
167,-20,-6
168,-20,-4
169,-20,-6
170,-16,-8
171,-12,-6
172,-12,-8
173,-8,-6
174,-8,-8
175,-8,-10
176,-8,-8
177,-12,-10
178,-12,-12
179,-16,-14
180,-20,-12
181,-24,-10
182,-20,-8
183,-20,-10
184,-20,-12
185,-20,-10
186,-20,-12
187,-16,-14
188,-20,-12
189,-16,-10
190,-16,-8
191,-12,-6
192,-8,-8
193,-8,-10
194,-4,-8
195,-4,-10
196,-4,-8
197,0,-6
198,4,-8
199,0,-10
200,0,-12
201,4,-10
202,0,-8
203,4,-10
204,4,-12
205,4,-10
206,8,-12
207,8,-10
208,12,-12
209,16,-10
210,12,-12
211,12,-10
212,12,-12
213,12,-10
214,8,-12
215,4,-10
216,8,-12
217,4,-14
218,0,-12
219,0,-14
220,0,-12
221,0,-10
222,0,-12
223,-4,-10
224,-8,-12
225,-12,-14
226,-8,-16
227,-4,-14
228,-8,-16
229,-8,-14
230,-12,-12
231,-8,-14
232,-8,-12
233,-4,-10
234,0,-8
235,-4,-6
236,0,-8
237,-4,-6
238,-4,-8
239,-4,-6
240,0,-8
241,0,-10
242,0,-12
243,4,-10
244,0,-8
245,4,-6
246,4,-4
247,4,-2
248,8,-4
249,4,-2
250,4,-4
251,8,-6
252,4,-8
253,4,-6
254,8,-8
255,12,-6
256,16,-8
257,12,-6
258,16,-4
259,12,-2
260,12,-4
261,8,-2
262,4,0
263,8,-2
264,8,0
265,8,2
266,8,4
267,8,6
268,4,4
269,4,6
270,4,8
271,0,10
272,0,8
273,0,6
274,-4,8
275,0,6
276,0,4
277,0,2
278,0,0
279,4,-2
280,0,0
281,-4,2
282,-4,4
283,-4,6
284,-8,4
285,-8,6
286,-8,4
287,-8,6
288,-12,8
289,-16,6
290,-20,8
291,-20,6
292,-16,4
293,-16,6
294,-16,4
295,-16,6
296,-16,8
297,-16,10
298,-20,12
299,-20,10
300,-20,8
301,-24,6
302,-20,4
303,-20,6
304,-24,4
305,-20,6
306,-20,8
307,-24,10
308,-20,8
309,-20,6
310,-20,4
311,-20,2
312,-16,4
313,-16,6
314,-16,4
315,-16,6
316,-12,4
317,-8,2
318,-12,4
319,-16,6
320,-12,8
321,-16,6
322,-12,4
323,-8,2
324,-12,0
325,-12,-2
326,-12,0
327,-12,-2
328,-12,0
329,-16,-2
330,-16,0
331,-20,-2
332,-16,-4
333,-12,-2
334,-12,-4
335,-12,-2
336,-16,0
337,-20,2
338,-20,0
339,-20,2
340,-16,4
341,-20,6
342,-20,8
343,-20,6
344,-16,8
345,-16,6
346,-16,4
347,-12,2
348,-12,4
349,-16,6
350,-12,8
351,-16,10
352,-16,12
353,-12,10
354,-8,8
355,-4,6
356,0,8
357,-4,6
358,-4,4
359,-8,2
360,-4,4
361,-8,6
362,-8,4
363,-4,6
364,0,4
365,0,6
366,-4,4
367,-8,6
368,-8,8
369,-8,10
370,-12,8
371,-8,6
372,-8,4
373,-4,2
374,-8,0
375,-12,-2
376,-12,0
377,-16,-2
378,-16,0
379,-16,-2
380,-16,-4
381,-16,-6
382,-20,-8
383,-16,-10
384,-20,-12
385,-20,-10
386,-16,-8
387,-12,-6
388,-12,-8
389,-8,-6
390,-12,-4
391,-8,-6
392,-12,-8
393,-12,-6
394,-8,-8
395,-12,-10
396,-12,-12
397,-8,-10
398,-4,-8
399,-4,-10
400,-4,-8
401,0,-6
402,0,-8
403,0,-6
404,0,-4
405,0,-2
406,0,-4
407,0,-2
408,0,-4
409,4,-6
410,4,-4
411,4,-2
412,4,0
413,0,-2
414,0,-4
415,0,-2
416,0,-4
417,-4,-2
418,-4,0
419,-4,2
420,-8,0
421,-8,2
422,-8,4
423,-8,2
424,-4,4
425,-8,6
426,-4,4
427,-4,2
428,-8,0
429,-4,2
430,0,0
431,4,-2
432,4,0
433,4,-2
434,4,0
435,4,2
436,4,0
437,0,2
438,0,4
439,4,2
440,4,0
441,8,-2
442,8,0
443,12,2
444,12,0
445,12,-2
446,12,-4
447,8,-6
448,8,-4
449,12,-2
450,12,0
451,12,2
452,12,0
453,8,2
454,12,4
455,12,6
456,12,4
457,12,6
458,8,4
459,12,2
460,12,0
461,12,2
462,12,4
463,12,2
464,12,4
465,16,6
466,20,4
467,24,6
468,20,8
469,20,6
470,16,8
471,20,10
472,24,8
473,24,6
474,20,8
475,16,10
476,12,12
477,8,14
478,12,12
479,8,10
480,8,12
481,4,10
482,4,12
483,4,10
484,4,12
485,4,14
486,4,12
487,4,10
488,4,12
489,8,10
490,4,12
491,8,10
492,4,12
493,8,10
494,8,8
495,12,6
496,8,8
497,12,6
498,8,8
499,4,6
500,0,4
501,4,2
502,0,4
503,-4,2
504,0,0
505,4,2
